Temp	Mu	Sigma	Acceptance	Energy	
0.232	0.697	0.737	0.49	-0.370
0.230	0.731	0.755	0.51	-0.361
0.229	0.791	0.760	0.54	-0.337
0.228	0.832	0.725	0.56	-0.363
0.227	0.905	0.754	0.59	-0.250
0.226	0.880	0.788	0.58	-0.227
0.225	0.852	0.824	0.57	-0.193
0.224	0.907	0.826	0.60	-0.106
0.222	0.884	0.857	0.59	-0.089
0.221	0.881	0.882	0.58	-0.020
0.220	0.849	0.885	0.57	-0.063
0.219	0.867	0.860	0.58	-0.105
0.218	0.869	0.862	0.58	-0.088
0.217	0.826	0.853	0.56	-0.167
0.216	0.791	0.832	0.54	-0.250
0.215	0.798	0.797	0.55	-0.289
0.214	0.787	0.797	0.54	-0.304
0.213	0.787	0.797	0.56	-0.304
0.212	0.812	0.777	0.55	-0.305
0.211	0.780	0.749	0.54	-0.356
0.209	0.764	0.718	0.53	-0.390
0.208	0.737	0.708	0.51	-0.397
0.207	0.721	0.735	0.51	-0.374
0.206	0.729	0.722	0.51	-0.389
0.205	0.701	0.704	0.50	-0.389
0.204	0.734	0.680	0.51	-0.414
0.203	0.674	0.655	0.48	-0.390
0.202	0.674	0.666	0.48	-0.388
0.201	0.673	0.686	0.48	-0.382
0.200	0.700	0.685	0.50	-0.396
0.199	0.670	0.710	0.48	-0.371
0.198	0.690	0.694	0.49	-0.389
0.197	0.748	0.708	0.52	-0.400
0.196	0.733	0.685	0.51	-0.410
0.195	0.763	0.669	0.53	-0.426
0.194	0.821	0.658	0.55	-0.429
0.193	0.799	0.680	0.54	-0.419
0.192	0.817	0.656	0.54	-0.433
0.191	0.831	0.629	0.54	-0.439
0.190	0.783	0.657	0.53	-0.432
0.190	0.806	0.670	0.54	-0.425
0.189	0.785	0.671	0.54	-0.427
0.188	0.749	0.647	0.52	-0.432
0.187	0.724	0.640	0.51	-0.421
0.186	0.759	0.647	0.52	-0.434
0.185	0.701	0.665	0.50	-0.405
0.184	0.665	0.683	0.48	-0.377
0.183	0.679	0.659	0.48	-0.391
0.182	0.727	0.657	0.51	-0.418
0.181	0.722	0.665	0.51	-0.416
0.180	0.742	0.641	0.51	-0.430
0.179	0.767	0.640	0.52	-0.436
0.178	0.767	0.640	0.51	-0.436
0.178	0.760	0.622	0.52	-0.438
0.177	0.758	0.625	0.52	-0.436
0.176	0.789	0.626	0.53	-0.442
0.175	0.835	0.655	0.55	-0.428
0.174	0.858	0.640	0.55	-0.427
0.173	0.861	0.619	0.54	-0.429
0.172	0.845	0.603	0.53	-0.436
0.171	0.840	0.583	0.52	-0.430
0.171	0.804	0.556	0.50	-0.410
0.170	0.828	0.531	0.48	-0.366
0.169	0.872	0.513	0.46	-0.299
0.168	0.839	0.489	0.44	-0.237
0.167	0.833	0.504	0.46	-0.296
0.166	0.830	0.497	0.45	-0.272
